,Unnamed: 0,sent_index,word_index,word,region,condition,model_word,surprisal,model,unk,final
0,0,0,0,I,prefix,that_no-gap_pos,I,0.0,google,False,False
1,1,0,1,wonder,prefix,that_no-gap_pos,wonder,16.054655075073242,google,False,False
2,2,0,2,if,that,that_no-gap_pos,if,3.210862398147583,google,False,False
3,3,0,3,the,subject,that_no-gap_pos,the,6.058010578155518,google,False,False
4,4,0,4,owner,subject,that_no-gap_pos,owner,10.684738159179688,google,False,False
5,5,0,5,of,subject,that_no-gap_pos,of,1.1631419658660889,google,False,False
6,6,0,6,the,subject,that_no-gap_pos,the,1.633616328239441,google,False,False
7,7,0,7,truck,subject,that_no-gap_pos,truck,9.905752182006836,google,False,False
8,8,0,8,has,paux,that_no-gap_pos,has,5.237578392028809,google,False,False
9,9,0,9,driven,verb,that_no-gap_pos,driven,10.437908172607422,google,False,False
10,10,0,10,at,verb,that_no-gap_pos,at,5.988848686218263,google,False,False
11,11,0,11,this,object,that_no-gap_pos,this,6.20961856842041,google,False,False
12,12,0,12,speed,object,that_no-gap_pos,speed,3.701479196548462,google,False,False
13,13,0,13,during,continuation,that_no-gap_pos,during,8.630637168884277,google,False,False
14,14,0,14,the,continuation,that_no-gap_pos,the,1.6376030445098877,google,False,False
15,15,0,15,race,continuation,that_no-gap_pos,race,8.282525062561035,google,False,False
16,16,0,17,.,End,that_no-gap_pos,.,1.0529205799102783,google,False,False
17,17,0,18,<eos>,End,that_no-gap_pos,<eos>,0.0,google,False,True
18,18,1,0,I,prefix,that_no-gap_pos,I,0.0,google,False,False
19,19,1,1,wonder,prefix,that_no-gap_pos,wonder,16.054655075073242,google,False,False
20,20,1,2,if,that,that_no-gap_pos,if,3.210862398147583,google,False,False
21,21,1,3,the,subject,that_no-gap_pos,the,6.058010578155518,google,False,False
22,22,1,4,crate,subject,that_no-gap_pos,crate,22.25978660583496,google,False,False
23,23,1,5,under,subject,that_no-gap_pos,under,10.918586730957033,google,False,False
24,24,1,6,the,subject,that_no-gap_pos,the,2.2758452892303467,google,False,False
25,25,1,7,silo,subject,that_no-gap_pos,silo,20.346174240112305,google,False,False
26,26,1,8,has,paux,that_no-gap_pos,has,5.155949115753174,google,False,False
27,27,1,9,weighed,verb,that_no-gap_pos,weighed,14.89749240875244,google,False,False
28,28,1,10,a,object,that_no-gap_pos,a,4.967888832092285,google,False,False
29,29,1,11,ton,object,that_no-gap_pos,ton,1.1732876300811768,google,False,False
30,30,1,12,during,continuation,that_no-gap_pos,during,10.87911605834961,google,False,False
31,31,1,13,the,continuation,that_no-gap_pos,the,1.038341760635376,google,False,False
32,32,1,14,week,continuation,that_no-gap_pos,week,5.51569128036499,google,False,False
33,33,1,16,.,End,that_no-gap_pos,.,1.598055124282837,google,False,False
34,34,1,17,<eos>,End,that_no-gap_pos,<eos>,0.0,google,False,True
35,35,2,0,I,prefix,that_no-gap_pos,I,0.0,google,False,False
36,36,2,1,wonder,prefix,that_no-gap_pos,wonder,16.054655075073242,google,False,False
37,37,2,2,if,that,that_no-gap_pos,if,3.210862398147583,google,False,False
38,38,2,3,the,subject,that_no-gap_pos,the,6.058010578155518,google,False,False
39,39,2,4,boat,subject,that_no-gap_pos,boat,15.093501091003418,google,False,False
40,40,2,5,at,subject,that_no-gap_pos,at,8.177297592163086,google,False,False
41,41,2,6,the,subject,that_no-gap_pos,the,1.8148856163024905,google,False,False
42,42,2,7,marina,subject,that_no-gap_pos,marina,5.74208402633667,google,False,False
43,43,2,8,has,paux,that_no-gap_pos,has,4.19038724899292,google,False,False
44,44,2,9,cost,verb,that_no-gap_pos,cost,11.411667823791506,google,False,False
45,45,2,10,ten,object,that_no-gap_pos,ten,12.151833534240724,google,False,False
46,46,2,11,grand,object,that_no-gap_pos,grand,9.89362621307373,google,False,False
47,47,2,12,over,continuation,that_no-gap_pos,over,7.835926532745361,google,False,False
