	sent_index	word_index	word	region	condition
0	0	0	I	prefix	that_no-gap_pos
1	0	1	wonder	prefix	that_no-gap_pos
2	0	2	if	that	that_no-gap_pos
3	0	3	the	subject	that_no-gap_pos
4	0	4	owner	subject	that_no-gap_pos
5	0	5	of	subject	that_no-gap_pos
6	0	6	the	subject	that_no-gap_pos
7	0	7	truck	subject	that_no-gap_pos
8	0	8	has	paux	that_no-gap_pos
9	0	9	driven	verb	that_no-gap_pos
10	0	10	at	verb	that_no-gap_pos
11	0	11	this	object	that_no-gap_pos
12	0	12	speed	object	that_no-gap_pos
13	0	13	during	continuation	that_no-gap_pos
14	0	14	the	continuation	that_no-gap_pos
15	0	15	race	continuation	that_no-gap_pos
16	0	17	.	End	that_no-gap_pos
17	0	18	<eos>	End	that_no-gap_pos
18	1	0	I	prefix	that_no-gap_pos
19	1	1	wonder	prefix	that_no-gap_pos
20	1	2	if	that	that_no-gap_pos
21	1	3	the	subject	that_no-gap_pos
22	1	4	crate	subject	that_no-gap_pos
23	1	5	under	subject	that_no-gap_pos
24	1	6	the	subject	that_no-gap_pos
25	1	7	silo	subject	that_no-gap_pos
26	1	8	has	paux	that_no-gap_pos
27	1	9	weighed	verb	that_no-gap_pos
28	1	10	a	object	that_no-gap_pos
29	1	11	ton	object	that_no-gap_pos
30	1	12	during	continuation	that_no-gap_pos
31	1	13	the	continuation	that_no-gap_pos
32	1	14	week	continuation	that_no-gap_pos
33	1	16	.	End	that_no-gap_pos
34	1	17	<eos>	End	that_no-gap_pos
35	2	0	I	prefix	that_no-gap_pos
36	2	1	wonder	prefix	that_no-gap_pos
37	2	2	if	that	that_no-gap_pos
38	2	3	the	subject	that_no-gap_pos
39	2	4	boat	subject	that_no-gap_pos
40	2	5	at	subject	that_no-gap_pos
41	2	6	the	subject	that_no-gap_pos
42	2	7	marina	subject	that_no-gap_pos
43	2	8	has	paux	that_no-gap_pos
44	2	9	cost	verb	that_no-gap_pos
45	2	10	ten	object	that_no-gap_pos
46	2	11	grand	object	that_no-gap_pos
47	2	12	over	continuation	that_no-gap_pos
48	2	13	the	continuation	that_no-gap_pos
49	2	14	weekend	continuation	that_no-gap_pos
50	2	16	.	End	that_no-gap_pos
51	2	17	<eos>	End	that_no-gap_pos
52	3	0	I	prefix	that_no-gap_pos
53	3	1	wonder	prefix	that_no-gap_pos
54	3	2	if	that	that_no-gap_pos
55	3	3	the	subject	that_no-gap_pos
56	3	4	house	subject	that_no-gap_pos
57	3	5	at	subject	that_no-gap_pos
58	3	6	the	subject	that_no-gap_pos
59	3	7	end	subject	that_no-gap_pos
60	3	8	of	subject	that_no-gap_pos
61	3	9	the	subject	that_no-gap_pos
62	3	10	street	subject	that_no-gap_pos
63	3	11	has	paux	that_no-gap_pos
64	3	12	suffered	verb	that_no-gap_pos
65	3	13	a	object	that_no-gap_pos
66	3	14	direct	object	that_no-gap_pos
67	3	15	hit	object	that_no-gap_pos
68	3	16	during	continuation	that_no-gap_pos
69	3	17	the	continuation	that_no-gap_pos
70	3	18	storm	continuation	that_no-gap_pos
71	3	20	.	End	that_no-gap_pos
72	3	21	<eos>	End	that_no-gap_pos
73	4	0	I	prefix	that_no-gap_pos
74	4	1	wonder	prefix	that_no-gap_pos
75	4	2	if	that	that_no-gap_pos
