,Unnamed: 0,sent_index,word_index,word,region,condition,model_word,surprisal,model,unk,final
0,0,0,0,I,prefix,that_no-gap_obj,I,0.0,google,False,False
1,1,0,1,know,prefix,that_no-gap_obj,know,12.60753345489502,google,False,False
2,2,0,2,that,that,that_no-gap_obj,that,5.9504942893981925,google,False,False
3,3,0,3,they,subject,that_no-gap_obj,they,5.022089004516602,google,False,False
4,4,0,4,likely,modifier,that_no-gap_obj,likely,14.079256057739258,google,False,False
5,5,0,5,could,verb,that_no-gap_obj,could,7.4468278884887695,google,False,False
6,6,0,6,speak,verb,that_no-gap_obj,speak,11.261181831359865,google,False,False
7,7,0,7,to,verb,that_no-gap_obj,to,2.626002788543701,google,False,False
8,8,0,8,the,object,that_no-gap_obj,the,4.027209281921387,google,False,False
9,9,0,9,reporter,object,that_no-gap_obj,reporter,10.938827514648438,google,False,False
10,10,0,10,in,continuation,that_no-gap_obj,in,3.88015341758728,google,False,False
11,11,0,11,private,continuation,that_no-gap_obj,private,7.512500762939452,google,False,False
12,12,0,13,.,End,that_no-gap_obj,.,1.6121830940246582,google,False,False
13,13,0,14,<eos>,End,that_no-gap_obj,<eos>,0.0,google,False,True
14,14,1,0,I,prefix,that_no-gap_obj,I,0.0,google,False,False
15,15,1,1,know,prefix,that_no-gap_obj,know,12.60753345489502,google,False,False
16,16,1,2,that,that,that_no-gap_obj,that,5.9504942893981925,google,False,False
17,17,1,3,we,subject,that_no-gap_obj,we,5.9197750091552725,google,False,False
18,18,1,4,sometimes,modifier,that_no-gap_obj,sometimes,8.734156608581543,google,False,False
19,19,1,5,cleaned,verb,that_no-gap_obj,cleaned,19.790040969848636,google,False,False
20,20,1,6,the,object,that_no-gap_obj,the,4.180094242095946,google,False,False
21,21,1,7,classroom,object,that_no-gap_obj,classroom,12.003669738769533,google,False,False
22,22,1,8,during,continuation,that_no-gap_obj,during,7.491071701049805,google,False,False
23,23,1,9,the,continuation,that_no-gap_obj,the,2.2659149169921875,google,False,False
24,24,1,10,break,continuation,that_no-gap_obj,break,8.656593322753906,google,False,False
25,25,1,12,.,End,that_no-gap_obj,.,1.5537039041519165,google,False,False
26,26,1,13,<eos>,End,that_no-gap_obj,<eos>,0.0,google,False,True
27,27,2,0,I,prefix,that_no-gap_obj,I,0.0,google,False,False
28,28,2,1,know,prefix,that_no-gap_obj,know,12.60753345489502,google,False,False
29,29,2,2,that,that,that_no-gap_obj,that,5.9504942893981925,google,False,False
30,30,2,3,she,subject,that_no-gap_obj,she,8.208765029907228,google,False,False
31,31,2,4,unfortunately,modifier,that_no-gap_obj,unfortunately,15.062318801879885,google,False,False
32,32,2,5,missed,verb,that_no-gap_obj,missed,7.633244037628174,google,False,False
33,33,2,6,the,object,that_no-gap_obj,the,2.8155057430267334,google,False,False
34,34,2,7,reception,object,that_no-gap_obj,reception,14.090432167053224,google,False,False
35,35,2,8,in,continuation,that_no-gap_obj,in,4.910979270935059,google,False,False
36,36,2,9,the,continuation,that_no-gap_obj,the,1.4380838871002195,google,False,False
37,37,2,10,evening,continuation,that_no-gap_obj,evening,7.8636298179626465,google,False,False
38,38,2,12,.,End,that_no-gap_obj,.,1.2297513484954834,google,False,False
39,39,2,13,<eos>,End,that_no-gap_obj,<eos>,0.0,google,False,True
40,40,3,0,I,prefix,that_no-gap_obj,I,0.0,google,False,False
41,41,3,1,know,prefix,that_no-gap_obj,know,12.60753345489502,google,False,False
