	sent_index	word_index	word	region	condition
0	0	0	I	prefix	that_no-gap_obj
1	0	1	know	prefix	that_no-gap_obj
2	0	2	that	that	that_no-gap_obj
3	0	3	they	subject	that_no-gap_obj
4	0	4	likely	modifier	that_no-gap_obj
5	0	5	could	verb	that_no-gap_obj
6	0	6	speak	verb	that_no-gap_obj
7	0	7	to	verb	that_no-gap_obj
8	0	8	the	object	that_no-gap_obj
9	0	9	reporter	object	that_no-gap_obj
10	0	10	in	continuation	that_no-gap_obj
11	0	11	private	continuation	that_no-gap_obj
12	0	13	.	End	that_no-gap_obj
13	0	14	<eos>	End	that_no-gap_obj
14	1	0	I	prefix	that_no-gap_obj
15	1	1	know	prefix	that_no-gap_obj
16	1	2	that	that	that_no-gap_obj
17	1	3	the	subject	that_no-gap_obj
18	1	4	students	subject	that_no-gap_obj
19	1	5	sometimes	modifier	that_no-gap_obj
20	1	6	cleaned	verb	that_no-gap_obj
21	1	7	the	object	that_no-gap_obj
22	1	8	classroom	object	that_no-gap_obj
23	1	9	during	continuation	that_no-gap_obj
24	1	10	the	continuation	that_no-gap_obj
25	1	11	break	continuation	that_no-gap_obj
26	1	13	.	End	that_no-gap_obj
27	1	14	<eos>	End	that_no-gap_obj
28	2	0	I	prefix	that_no-gap_obj
29	2	1	know	prefix	that_no-gap_obj
30	2	2	that	that	that_no-gap_obj
31	2	3	she	subject	that_no-gap_obj
32	2	4	unfortunately	modifier	that_no-gap_obj
33	2	5	missed	verb	that_no-gap_obj
34	2	6	the	object	that_no-gap_obj
35	2	7	reception	object	that_no-gap_obj
36	2	8	in	continuation	that_no-gap_obj
37	2	9	the	continuation	that_no-gap_obj
38	2	10	evening	continuation	that_no-gap_obj
39	2	12	.	End	that_no-gap_obj
40	2	13	<eos>	End	that_no-gap_obj
41	3	0	I	prefix	that_no-gap_obj
42	3	1	know	prefix	that_no-gap_obj
43	3	2	that	that	that_no-gap_obj
44	3	3	he	subject	that_no-gap_obj
45	3	4	often	modifier	that_no-gap_obj
46	3	5	forgot	verb	that_no-gap_obj
47	3	6	the	object	that_no-gap_obj
48	3	7	diapers	object	that_no-gap_obj
49	3	8	in	continuation	that_no-gap_obj
50	3	9	the	continuation	that_no-gap_obj
51	3	10	car	continuation	that_no-gap_obj
52	3	12	.	End	that_no-gap_obj
53	3	13	<eos>	End	that_no-gap_obj
54	4	0	I	prefix	that_no-gap_obj
55	4	1	know	prefix	that_no-gap_obj
56	4	2	that	that	that_no-gap_obj
57	4	3	they	subject	that_no-gap_obj
58	4	4	usually	modifier	that_no-gap_obj
59	4	5	are	verb	that_no-gap_obj
60	4	6	told	verb	that_no-gap_obj
61	4	7	to	verb	that_no-gap_obj
62	4	8	do	verb	that_no-gap_obj
63	4	9	the	object	that_no-gap_obj
64	4	10	homework	object	that_no-gap_obj
65	4	11	in	continuation	that_no-gap_obj
66	4	12	the	continuation	that_no-gap_obj
67	4	13	morning	continuation	that_no-gap_obj
68	4	15	.	End	that_no-gap_obj
69	4	16	<eos>	End	that_no-gap_obj
70	0	0	I	prefix	that_gap_obj
71	0	1	know	prefix	that_gap_obj
72	0	2	that	that	that_gap_obj
73	0	3	they	subject	that_gap_obj
74	0	4	likely	modifier	that_gap_obj
75	0	5	could	verb	that_gap_obj
76	0	6	speak	verb	that_gap_obj
77	0	7	to	verb	that_gap_obj
78	0	8	in	continuation	that_gap_obj
79	0	9	private	continuation	that_gap_obj
80	0	11	.	End	that_gap_obj
81	0	12	<eos>	End	that_gap_obj
82	1	0	I	prefix	that_gap_obj
83	1	1	know	prefix	that_gap_obj
84	1	2	that	that	that_gap_obj
85	1	3	the	subject	that_gap_obj
86	1	4	students	subject	that_gap_obj
87	1	5	sometimes	modifier	that_gap_obj
88	1	6	cleaned	verb	that_gap_obj
89	1	7	during	continuation	that_gap_obj
90	1	8	the	continuation	that_gap_obj
91	1	9	break	continuation	that_gap_obj
92	1	11	.	End	that_gap_obj
93	1	12	<eos>	End	that_gap_obj
94	2	0	I	prefix	that_gap_obj
95	2	1	know	prefix	that_gap_obj
96	2	2	that	that	that_gap_obj
97	2	3	she	subject	that_gap_obj
98	2	4	unfortunately	modifier	that_gap_obj
99	2	5	missed	verb	that_gap_obj
100	2	6	in	continuation	that_gap_obj
101	2	7	the	continuation	that_gap_obj
102	2	8	evening	continuation	that_gap_obj
103	2	10	.	End	that_gap_obj
104	2	11	<eos>	End	that_gap_obj
105	3	0	I	prefix	that_gap_obj
106	3	1	know	prefix	that_gap_obj
107	3	2	that	that	that_gap_obj
108	3	3	he	subject	that_gap_obj
109	3	4	often	modifier	that_gap_obj
110	3	5	forgot	verb	that_gap_obj
111	3	6	in	continuation	that_gap_obj
112	3	7	the	continuation	that_gap_obj
113	3	8	car	continuation	that_gap_obj
114	3	10	.	End	that_gap_obj
115	3	11	<eos>	End	that_gap_obj
116	4	0	I	prefix	that_gap_obj
117	4	1	know	prefix	that_gap_obj
118	4	2	that	that	that_gap_obj
119	4	3	they	subject	that_gap_obj
120	4	4	usually	modifier	that_gap_obj
121	4	5	are	verb	that_gap_obj
122	4	6	told	verb	that_gap_obj
123	4	7	to	verb	that_gap_obj
124	4	8	do	verb	that_gap_obj
125	4	9	in	continuation	that_gap_obj
126	4	10	the	continuation	that_gap_obj
127	4	11	morning	continuation	that_gap_obj
128	4	13	.	End	that_gap_obj
129	4	14	<eos>	End	that_gap_obj
130	0	0	I	prefix	what_no-gap_obj
131	0	1	know	prefix	what_no-gap_obj
132	0	2	who	what	what_no-gap_obj
133	0	3	they	subject	what_no-gap_obj
134	0	4	likely	modifier	what_no-gap_obj
135	0	5	could	verb	what_no-gap_obj
136	0	6	speak	verb	what_no-gap_obj
137	0	7	to	verb	what_no-gap_obj
138	0	8	the	object	what_no-gap_obj
139	0	9	reporter	object	what_no-gap_obj
140	0	10	in	continuation	what_no-gap_obj
141	0	11	private	continuation	what_no-gap_obj
