,Unnamed: 0,sent_index,word_index,word,region,condition,model_word,surprisal,model,unk,final
0,0,0,0,It,Prefix-that,that_no-gap_wh-rc,It,0.0,google,False,False
1,1,0,1,was,Prefix-that,that_no-gap_wh-rc,was,10.65812873840332,google,False,False
2,2,0,2,known,Prefix-that,that_no-gap_wh-rc,known,17.67839241027832,google,False,False
3,3,0,3,that,that,that_no-gap_wh-rc,that,2.620402336120605,google,False,False
4,4,0,4,there,obj_setup,that_no-gap_wh-rc,there,3.906241893768311,google,False,False
5,5,0,5,were,obj_setup,that_no-gap_wh-rc,were,1.7070937156677246,google,False,False
6,6,0,6,many,obj_setup,that_no-gap_wh-rc,many,5.563879489898682,google,False,False
7,7,0,7,historians,obj_setup,that_no-gap_wh-rc,historians,16.799549102783207,google,False,False
8,8,0,8,who,obj_setup,that_no-gap_wh-rc,who,1.4305534362792969,google,False,False
9,9,0,9,dismissed,obj_setup,that_no-gap_wh-rc,dismissed,12.111339569091795,google,False,False
10,10,0,10,the,rc_np,that_no-gap_wh-rc,the,1.4336553812026978,google,False,False
11,11,0,11,war,rc_np,that_no-gap_wh-rc,war,8.162055015563965,google,False,False
12,12,0,12,at,End,that_no-gap_wh-rc,at,8.679278373718263,google,False,False
13,13,0,13,the,End,that_no-gap_wh-rc,the,1.3266664743423462,google,False,False
14,14,0,14,meeting,End,that_no-gap_wh-rc,meeting,13.677026748657227,google,False,False
15,15,0,16,.,End,that_no-gap_wh-rc,.,3.335054636001587,google,False,False
16,16,0,17,<eos>,End,that_no-gap_wh-rc,<eos>,0.0,google,False,True
17,17,1,0,It,Prefix-that,that_no-gap_wh-rc,It,0.0,google,False,False
18,18,1,1,was,Prefix-that,that_no-gap_wh-rc,was,10.65812873840332,google,False,False
19,19,1,2,known,Prefix-that,that_no-gap_wh-rc,known,17.67839241027832,google,False,False
20,20,1,3,that,that,that_no-gap_wh-rc,that,2.620402336120605,google,False,False
21,21,1,4,there,obj_setup,that_no-gap_wh-rc,there,3.906241893768311,google,False,False
22,22,1,5,were,obj_setup,that_no-gap_wh-rc,were,1.7070937156677246,google,False,False
23,23,1,6,many,obj_setup,that_no-gap_wh-rc,many,5.563879489898682,google,False,False
24,24,1,7,senators,obj_setup,that_no-gap_wh-rc,senators,14.631659507751465,google,False,False
25,25,1,8,who,obj_setup,that_no-gap_wh-rc,who,1.1616066694259644,google,False,False
26,26,1,9,supported,obj_setup,that_no-gap_wh-rc,supported,6.049946308135986,google,False,False
27,27,1,10,the,rc_np,that_no-gap_wh-rc,the,1.6487231254577637,google,False,False
28,28,1,11,proposal,rc_np,that_no-gap_wh-rc,proposal,7.002890110015869,google,False,False
29,29,1,12,at,End,that_no-gap_wh-rc,at,8.114380836486816,google,False,False
30,30,1,13,the,End,that_no-gap_wh-rc,the,1.1362879276275637,google,False,False
31,31,1,14,hearing,End,that_no-gap_wh-rc,hearing,8.054623603820799,google,False,False
32,32,1,16,.,End,that_no-gap_wh-rc,.,1.36122727394104,google,False,False
33,33,1,17,<eos>,End,that_no-gap_wh-rc,<eos>,0.0,google,False,True
34,34,2,0,It,Prefix-that,that_no-gap_wh-rc,It,0.0,google,False,False
35,35,2,1,was,Prefix-that,that_no-gap_wh-rc,was,10.65812873840332,google,False,False
36,36,2,2,known,Prefix-that,that_no-gap_wh-rc,known,17.67839241027832,google,False,False
37,37,2,3,that,that,that_no-gap_wh-rc,that,2.620402336120605,google,False,False
38,38,2,4,there,obj_setup,that_no-gap_wh-rc,there,3.906241893768311,google,False,False
39,39,2,5,were,obj_setup,that_no-gap_wh-rc,were,1.7070937156677246,google,False,False
40,40,2,6,many,obj_setup,that_no-gap_wh-rc,many,5.563879489898682,google,False,False
41,41,2,7,doctors,obj_setup,that_no-gap_wh-rc,doctors,11.830304145812988,google,False,False
42,42,2,8,who,obj_setup,that_no-gap_wh-rc,who,1.7540502548217771,google,False,False
43,43,2,9,prescribed,obj_setup,that_no-gap_wh-rc,prescribed,8.728899955749513,google,False,False
44,44,2,10,the,rc_np,that_no-gap_wh-rc,the,3.72809648513794,google,False,False
45,45,2,11,treatment,rc_np,that_no-gap_wh-rc,treatment,6.585139751434326,google,False,False
46,46,2,12,at,End,that_no-gap_wh-rc,at,6.492424964904785,google,False,False
47,47,2,13,the,End,that_no-gap_wh-rc,the,0.9583176374435424,google,False,False
48,48,2,14,hospital,End,that_no-gap_wh-rc,hospital,4.631045341491699,google,False,False
49,49,2,16,.,End,that_no-gap_wh-rc,.,1.7974011898040771,google,False,False
50,50,2,17,<eos>,End,that_no-gap_wh-rc,<eos>,0.0,google,False,True
51,51,3,0,It,Prefix-that,that_no-gap_wh-rc,It,0.0,google,False,False
52,52,3,1,was,Prefix-that,that_no-gap_wh-rc,was,10.65812873840332,google,False,False
53,53,3,2,known,Prefix-that,that_no-gap_wh-rc,known,17.67839241027832,google,False,False
54,54,3,3,that,that,that_no-gap_wh-rc,that,2.620402336120605,google,False,False
