	sent_index	word_index	word	region	condition
0	0	0	I	prefix	that_no-gap_obj
1	0	1	know	prefix	that_no-gap_obj
2	0	2	that	that	that_no-gap_obj
3	0	3	he	subject	that_no-gap_obj
4	0	4	likely	modifier	that_no-gap_obj
5	0	5	could	verb	that_no-gap_obj
6	0	6	meet	verb	that_no-gap_obj
7	0	7	with	verb	that_no-gap_obj
8	0	8	the	object	that_no-gap_obj
9	0	9	nanny	object	that_no-gap_obj
10	0	10	today	continuation	that_no-gap_obj
11	0	12	.	End	that_no-gap_obj
12	0	13	<eos>	End	that_no-gap_obj
13	1	0	I	prefix	that_no-gap_obj
14	1	1	know	prefix	that_no-gap_obj
15	1	2	that	that	that_no-gap_obj
16	1	3	she	subject	that_no-gap_obj
17	1	4	probably	modifier	that_no-gap_obj
18	1	5	got	verb	that_no-gap_obj
19	1	6	married	verb	that_no-gap_obj
20	1	7	to	verb	that_no-gap_obj
21	1	8	a	object	that_no-gap_obj
22	1	9	sailor	object	that_no-gap_obj
23	1	10	now	continuation	that_no-gap_obj
24	1	12	.	End	that_no-gap_obj
25	1	13	<eos>	End	that_no-gap_obj
26	2	0	I	prefix	that_no-gap_obj
27	2	1	know	prefix	that_no-gap_obj
28	2	2	that	that	that_no-gap_obj
29	2	3	he	subject	that_no-gap_obj
30	2	4	allegedly	modifier	that_no-gap_obj
31	2	5	could	verb	that_no-gap_obj
32	2	6	do	verb	that_no-gap_obj
33	2	7	the	object	that_no-gap_obj
34	2	8	job	object	that_no-gap_obj
35	2	9	quickly	continuation	that_no-gap_obj
36	2	11	.	End	that_no-gap_obj
37	2	12	<eos>	End	that_no-gap_obj
38	3	0	I	prefix	that_no-gap_obj
39	3	1	know	prefix	that_no-gap_obj
40	3	2	that	that	that_no-gap_obj
41	3	3	he	subject	that_no-gap_obj
42	3	4	apparently	modifier	that_no-gap_obj
43	3	5	was	verb	that_no-gap_obj
44	3	6	hit	verb	that_no-gap_obj
45	3	7	by	verb	that_no-gap_obj
46	3	8	a	object	that_no-gap_obj
47	3	9	car	object	that_no-gap_obj
48	3	10	yesterday	continuation	that_no-gap_obj
49	3	12	.	End	that_no-gap_obj
50	3	13	<eos>	End	that_no-gap_obj
51	4	0	I	prefix	that_no-gap_obj
52	4	1	know	prefix	that_no-gap_obj
53	4	2	that	that	that_no-gap_obj
54	4	3	they	subject	that_no-gap_obj
55	4	4	supposedly	modifier	that_no-gap_obj
56	4	5	wanted	verb	that_no-gap_obj
57	4	6	to	verb	that_no-gap_obj
58	4	7	see	verb	that_no-gap_obj
59	4	8	the	object	that_no-gap_obj
60	4	9	pyramids	object	that_no-gap_obj
61	4	10	together	continuation	that_no-gap_obj
62	4	12	.	End	that_no-gap_obj
63	4	13	<eos>	End	that_no-gap_obj
64	0	0	I	prefix	that_gap_obj
65	0	1	know	prefix	that_gap_obj
66	0	2	that	that	that_gap_obj
67	0	3	he	subject	that_gap_obj
68	0	4	likely	modifier	that_gap_obj
69	0	5	could	verb	that_gap_obj
70	0	6	meet	verb	that_gap_obj
71	0	7	with	verb	that_gap_obj
72	0	8	today	continuation	that_gap_obj
73	0	10	.	End	that_gap_obj
74	0	11	<eos>	End	that_gap_obj
75	1	0	I	prefix	that_gap_obj
76	1	1	know	prefix	that_gap_obj
77	1	2	that	that	that_gap_obj
78	1	3	she	subject	that_gap_obj
79	1	4	probably	modifier	that_gap_obj
80	1	5	got	verb	that_gap_obj
81	1	6	married	verb	that_gap_obj
82	1	7	to	verb	that_gap_obj
83	1	8	now	continuation	that_gap_obj
84	1	10	.	End	that_gap_obj
85	1	11	<eos>	End	that_gap_obj
86	2	0	I	prefix	that_gap_obj
87	2	1	know	prefix	that_gap_obj
88	2	2	that	that	that_gap_obj
89	2	3	he	subject	that_gap_obj
90	2	4	allegedly	modifier	that_gap_obj
91	2	5	could	verb	that_gap_obj
92	2	6	do	verb	that_gap_obj
93	2	7	quickly	continuation	that_gap_obj
94	2	9	.	End	that_gap_obj
95	2	10	<eos>	End	that_gap_obj
96	3	0	I	prefix	that_gap_obj
97	3	1	know	prefix	that_gap_obj
98	3	2	that	that	that_gap_obj
99	3	3	he	subject	that_gap_obj
100	3	4	apparently	modifier	that_gap_obj
101	3	5	was	verb	that_gap_obj
102	3	6	hit	verb	that_gap_obj
103	3	7	by	verb	that_gap_obj
104	3	8	yesterday	continuation	that_gap_obj
105	3	10	.	End	that_gap_obj
106	3	11	<eos>	End	that_gap_obj
107	4	0	I	prefix	that_gap_obj
108	4	1	know	prefix	that_gap_obj
109	4	2	that	that	that_gap_obj
110	4	3	they	subject	that_gap_obj
111	4	4	supposedly	modifier	that_gap_obj
112	4	5	wanted	verb	that_gap_obj
113	4	6	to	verb	that_gap_obj
114	4	7	see	verb	that_gap_obj
115	4	8	together	continuation	that_gap_obj
116	4	10	.	End	that_gap_obj
117	4	11	<eos>	End	that_gap_obj
118	0	0	I	prefix	what_no-gap_obj
119	0	1	know	prefix	what_no-gap_obj
120	0	2	who	what	what_no-gap_obj
121	0	3	he	subject	what_no-gap_obj
122	0	4	likely	modifier	what_no-gap_obj
123	0	5	could	verb	what_no-gap_obj
124	0	6	meet	verb	what_no-gap_obj
125	0	7	with	verb	what_no-gap_obj
126	0	8	the	object	what_no-gap_obj
127	0	9	nanny	object	what_no-gap_obj
128	0	10	today	continuation	what_no-gap_obj
129	0	12	.	End	what_no-gap_obj
130	0	13	<eos>	End	what_no-gap_obj
131	1	0	I	prefix	what_no-gap_obj
132	1	1	know	prefix	what_no-gap_obj
133	1	2	who	what	what_no-gap_obj
134	1	3	she	subject	what_no-gap_obj
135	1	4	probably	modifier	what_no-gap_obj
136	1	5	got	verb	what_no-gap_obj
137	1	6	married	verb	what_no-gap_obj
138	1	7	to	verb	what_no-gap_obj
139	1	8	a	object	what_no-gap_obj
140	1	9	sailor	object	what_no-gap_obj
141	1	10	now	continuation	what_no-gap_obj
142	1	12	.	End	what_no-gap_obj
