	sent_index	word_index	word	region	condition
0	0	0	It	Prefix-that	that_no-gap_wh-rc
1	0	1	was	Prefix-that	that_no-gap_wh-rc
2	0	2	known	Prefix-that	that_no-gap_wh-rc
3	0	3	that	that	that_no-gap_wh-rc
4	0	4	there	obj_setup	that_no-gap_wh-rc
5	0	5	were	obj_setup	that_no-gap_wh-rc
6	0	6	many	obj_setup	that_no-gap_wh-rc
7	0	7	historians	obj_setup	that_no-gap_wh-rc
8	0	8	who	obj_setup	that_no-gap_wh-rc
9	0	9	dismissed	obj_setup	that_no-gap_wh-rc
10	0	10	the	rc_np	that_no-gap_wh-rc
11	0	11	war	rc_np	that_no-gap_wh-rc
12	0	12	at	End	that_no-gap_wh-rc
13	0	13	the	End	that_no-gap_wh-rc
14	0	14	meeting	End	that_no-gap_wh-rc
15	0	16	.	End	that_no-gap_wh-rc
16	0	17	<eos>	End	that_no-gap_wh-rc
17	1	0	It	Prefix-that	that_no-gap_wh-rc
18	1	1	was	Prefix-that	that_no-gap_wh-rc
19	1	2	known	Prefix-that	that_no-gap_wh-rc
20	1	3	that	that	that_no-gap_wh-rc
21	1	4	there	obj_setup	that_no-gap_wh-rc
22	1	5	were	obj_setup	that_no-gap_wh-rc
23	1	6	many	obj_setup	that_no-gap_wh-rc
24	1	7	senators	obj_setup	that_no-gap_wh-rc
25	1	8	who	obj_setup	that_no-gap_wh-rc
26	1	9	supported	obj_setup	that_no-gap_wh-rc
27	1	10	the	rc_np	that_no-gap_wh-rc
28	1	11	proposal	rc_np	that_no-gap_wh-rc
29	1	12	at	End	that_no-gap_wh-rc
30	1	13	the	End	that_no-gap_wh-rc
31	1	14	hearing	End	that_no-gap_wh-rc
32	1	16	.	End	that_no-gap_wh-rc
33	1	17	<eos>	End	that_no-gap_wh-rc
34	2	0	It	Prefix-that	that_no-gap_wh-rc
35	2	1	was	Prefix-that	that_no-gap_wh-rc
36	2	2	known	Prefix-that	that_no-gap_wh-rc
37	2	3	that	that	that_no-gap_wh-rc
38	2	4	there	obj_setup	that_no-gap_wh-rc
39	2	5	were	obj_setup	that_no-gap_wh-rc
40	2	6	many	obj_setup	that_no-gap_wh-rc
41	2	7	doctors	obj_setup	that_no-gap_wh-rc
42	2	8	who	obj_setup	that_no-gap_wh-rc
43	2	9	prescribed	obj_setup	that_no-gap_wh-rc
44	2	10	the	rc_np	that_no-gap_wh-rc
45	2	11	treatment	rc_np	that_no-gap_wh-rc
46	2	12	at	End	that_no-gap_wh-rc
47	2	13	the	End	that_no-gap_wh-rc
48	2	14	hospital	End	that_no-gap_wh-rc
49	2	16	.	End	that_no-gap_wh-rc
50	2	17	<eos>	End	that_no-gap_wh-rc
51	3	0	It	Prefix-that	that_no-gap_wh-rc
52	3	1	was	Prefix-that	that_no-gap_wh-rc
53	3	2	known	Prefix-that	that_no-gap_wh-rc
54	3	3	that	that	that_no-gap_wh-rc
55	3	4	there	obj_setup	that_no-gap_wh-rc
56	3	5	were	obj_setup	that_no-gap_wh-rc
57	3	6	many	obj_setup	that_no-gap_wh-rc
58	3	7	editors	obj_setup	that_no-gap_wh-rc
59	3	8	who	obj_setup	that_no-gap_wh-rc
60	3	9	reviewed	obj_setup	that_no-gap_wh-rc
61	3	10	the	rc_np	that_no-gap_wh-rc
62	3	11	paper	rc_np	that_no-gap_wh-rc
63	3	12	at	End	that_no-gap_wh-rc
64	3	13	home	End	that_no-gap_wh-rc
65	3	15	.	End	that_no-gap_wh-rc
66	3	16	<eos>	End	that_no-gap_wh-rc
67	4	0	It	Prefix-that	that_no-gap_wh-rc
68	4	1	was	Prefix-that	that_no-gap_wh-rc
69	4	2	known	Prefix-that	that_no-gap_wh-rc
70	4	3	that	that	that_no-gap_wh-rc
71	4	4	there	obj_setup	that_no-gap_wh-rc
72	4	5	is	obj_setup	that_no-gap_wh-rc
73	4	6	nobody	obj_setup	that_no-gap_wh-rc
74	4	7	in	obj_setup	that_no-gap_wh-rc
75	4	8	the	obj_setup	that_no-gap_wh-rc
76	4	9	world	obj_setup	that_no-gap_wh-rc
77	4	10	who	obj_setup	that_no-gap_wh-rc
78	4	11	can	obj_setup	that_no-gap_wh-rc
79	4	12	afford	obj_setup	that_no-gap_wh-rc
80	4	13	the	rc_np	that_no-gap_wh-rc
81	4	14	price	rc_np	that_no-gap_wh-rc
82	4	15	at	End	that_no-gap_wh-rc
83	4	16	the	End	that_no-gap_wh-rc
84	4	17	pharmacy	End	that_no-gap_wh-rc
85	4	19	.	End	that_no-gap_wh-rc
86	4	20	<eos>	End	that_no-gap_wh-rc
87	5	0	It	Prefix-that	that_no-gap_wh-rc
88	5	1	was	Prefix-that	that_no-gap_wh-rc
89	5	2	known	Prefix-that	that_no-gap_wh-rc
90	5	3	that	that	that_no-gap_wh-rc
91	5	4	there	obj_setup	that_no-gap_wh-rc
92	5	5	were	obj_setup	that_no-gap_wh-rc
93	5	6	many	obj_setup	that_no-gap_wh-rc
94	5	7	employees	obj_setup	that_no-gap_wh-rc
95	5	8	who	obj_setup	that_no-gap_wh-rc
96	5	9	forwarded	obj_setup	that_no-gap_wh-rc
97	5	10	the	rc_np	that_no-gap_wh-rc
98	5	11	message	rc_np	that_no-gap_wh-rc
99	5	12	at	End	that_no-gap_wh-rc
100	5	13	work	End	that_no-gap_wh-rc
101	5	15	.	End	that_no-gap_wh-rc
102	5	16	<eos>	End	that_no-gap_wh-rc
103	6	0	It	Prefix-that	that_no-gap_wh-rc
104	6	1	was	Prefix-that	that_no-gap_wh-rc
105	6	2	known	Prefix-that	that_no-gap_wh-rc
106	6	3	that	that	that_no-gap_wh-rc
