	sent_index	word_index	word	region	condition
0	0	0	It	prefix	npl_l1_vpl
1	0	1	was	prefix	npl_l1_vpl
2	0	2	the	prefix	npl_l1_vpl
3	0	3	boys	npl	npl_l1_vpl
4	0	4	who	who	npl_l1_vpl
5	0	5	I	level1	npl_l1_vpl
6	0	6	think	level1	npl_l1_vpl
7	0	7	were	vpl	npl_l1_vpl
8	0	8	lost	continuation	npl_l1_vpl
9	0	10	.	End	npl_l1_vpl
10	0	11	<eos>	End	npl_l1_vpl
11	1	0	It	prefix	npl_l1_vpl
12	1	1	was	prefix	npl_l1_vpl
13	1	2	the	prefix	npl_l1_vpl
14	1	3	girls	npl	npl_l1_vpl
15	1	4	who	who	npl_l1_vpl
16	1	5	I	level1	npl_l1_vpl
17	1	6	think	level1	npl_l1_vpl
18	1	7	were	vpl	npl_l1_vpl
19	1	8	lost	continuation	npl_l1_vpl
20	1	10	.	End	npl_l1_vpl
21	1	11	<eos>	End	npl_l1_vpl
22	2	0	It	prefix	npl_l1_vpl
23	2	1	was	prefix	npl_l1_vpl
24	2	2	the	prefix	npl_l1_vpl
25	2	3	dogs	npl	npl_l1_vpl
26	2	4	who	who	npl_l1_vpl
27	2	5	I	level1	npl_l1_vpl
28	2	6	think	level1	npl_l1_vpl
29	2	7	were	vpl	npl_l1_vpl
30	2	8	lost	continuation	npl_l1_vpl
31	2	10	.	End	npl_l1_vpl
32	2	11	<eos>	End	npl_l1_vpl
33	3	0	It	prefix	npl_l1_vpl
34	3	1	was	prefix	npl_l1_vpl
35	3	2	the	prefix	npl_l1_vpl
36	3	3	cats	npl	npl_l1_vpl
37	3	4	who	who	npl_l1_vpl
38	3	5	I	level1	npl_l1_vpl
39	3	6	think	level1	npl_l1_vpl
40	3	7	were	vpl	npl_l1_vpl
41	3	8	lost	continuation	npl_l1_vpl
42	3	10	.	End	npl_l1_vpl
43	3	11	<eos>	End	npl_l1_vpl
44	4	0	It	prefix	npl_l1_vpl
45	4	1	was	prefix	npl_l1_vpl
46	4	2	the	prefix	npl_l1_vpl
47	4	3	men	npl	npl_l1_vpl
48	4	4	who	who	npl_l1_vpl
49	4	5	I	level1	npl_l1_vpl
50	4	6	think	level1	npl_l1_vpl
51	4	7	were	vpl	npl_l1_vpl
52	4	8	lost	continuation	npl_l1_vpl
53	4	10	.	End	npl_l1_vpl
54	4	11	<eos>	End	npl_l1_vpl
55	5	0	It	prefix	npl_l1_vpl
56	5	1	was	prefix	npl_l1_vpl
57	5	2	the	prefix	npl_l1_vpl
58	5	3	women	npl	npl_l1_vpl
59	5	4	who	who	npl_l1_vpl
60	5	5	I	level1	npl_l1_vpl
61	5	6	think	level1	npl_l1_vpl
62	5	7	were	vpl	npl_l1_vpl
